A&AS,advisory and assistance services
CG, AMC,"commanding general, army materiel command"
CGA,compressed gas association
CGA,color graphic adapters
CGAMS,coast guard acquisition management system
CGF,computer generated forces
CGI,common gateway interface
CGM,computer graphic metafile
CGM,computer graphic materiel/metafile
CGM AP,computer graphics metafile application profile
CGMP,current good manufacturing practices
CGO,company grade officer
CGS,common ground station
CGS,cost of goods sold
CGSC,command and general staff college 
CGSEL,common ground support equipment list
CHA,certified hotel administrator
CHBDL-ST,common high bandwidth data link surface terminal
CHCS,composite healthcare computer system
CHE,conventional high explosive
CHESDIV,chesapeake division
CHNAVMAT,chief of naval material
CHOA,corporate home office auditor
CHRIS,chemical hazards response information system
CHRIS,computed history recording input system
CHRIS,command human resources intelligence system
CHRIS,computerized human resources information system
CHT,composite horizontal tail
CHT,chart
CHUM,chart updating manual
CI,commercial item
CI,corrosion inhibitor
CI,configuration item
CI,critical item
CI,communications interface
CI,counter intelligence
CI,contractor inquiry
CI,counterintelligence
CI,complex item
CI,case identifier
CI/SCM,counterintelligence/security countermeasures
CIA,certified internal auditor
CIA,central inventory accounting
CIA,central intelligence agency
CIB,current intelligence brief
CIB,combined information bureau
CIB,change inplementation board
CIB,controlled image base
CIC,controlled item code
CIC,criminal investigation command
CIC,customer identification code
CIC,critical intelligence categories
CIC,critical intelligence category
CICA,competition in contracting act
CICS,customer information control system
CICS,customer interface control system
CID,commercial item description
CID,combat identification
CID,change in design
CIDE,communication information data exchange
CIDOS,cloud interaction on dod operation and system
CIDR,contract inventory delinquency report
CIDS,commercial intrusion detection system
CIDX,chemical industry data exchange
CIE,clothing and individual equipment
CIE,controlled interval extension
Cied,counter-improvised explosive device
CIES,common imagery exploitation system
CIF,"cost, insurance, and freight"
CIG/SS,common imaging ground/surface station
CIGSS,common imagery ground/surface system
CIGTF,central inertial guidance test facility
CII,"compatibility, interoperability, and integration"
CIIC,controlled inventory item code
CIIDS,commercial interior intrusion detection system
CIK,crypto ignition key
CIK,cryptographic ignition key
CIL,critical item list
CIL,contracting information letter
CILOP,conversion in lieu of procurement 
CIM,computer integrated manufacturing
CIM,corporate information management
CIM,cryptographic interface module
CIM/EI,corporate information management/enterprise
CIMIC,civil military cooperation
CIMMD,close in man portable mine detector
CIMS,component ims
CIMS MDC,cims manager designator code
CIN,course identification number 
CIN,cargo increment number
CINC,commander in chief
CINC CIL,commander in chief critical item list
CINC IPL,commander in chief integrated priority list
CINCAMC,"commander in chief, air mobility command"
CINCLANT,"commander in chief, atlantic forces"
CINCLANTFLT,"commander in chief, us atlantic fleet"
CINCPAC,"commander in chief, pacific command"
CINCPACAF,"commander in chief, pacific air forces"
CINCPACFLT,"commander in chief, us pacific fleet"
CINCSOC,commander in chief special operation command
CINCSTRAT,"commander in chief, strategic command"
CIO,continuous improvement opportunity
CIO,central imagery office
CIO,chief information officer
CIO,central imaging office
CIP,component improvement program 
CIP,capital improvement program
CIP,critical intelligence parameter
CIP,component improvement program
CIP,georeach common installation picture
CIP,common imagery processor
CIP,core integrated processor
CIP,geobase common installation picture
CIPA,classified information procedure act
CIPR,contractor insurance/pension review
CIPR,concept in process review
CIPSO,common internet protocol security option
CIPT,cost/pricing integrated product team
CIPT,commanders integrated product team
CIPT AG,commanders integrated product team action group
CIPT-SWG,commanders ipt senior working group
CIR,centralized inventory and requirement
CIR,cost information report
CIR,critical item review
CIRF,centralized intermediate repair facility
CIRS,contractor inventory redistribution system
CIRS,circuit identification and recording system
CIRS,contractor inventory redistribution center
CIRS,commercial imagery receive segment
CIRT,contract issue resolution team
CIS,commonwealth of independent states
CIS,combat intelligence system
CIS,contractor initial support
CIS,contractor information system
CISA,certified information system auditor
CISF,centralized integration support facility
CISF,chief of information systems flight
CISM,coupled ionosphere scintillation model
CISOC,communication information system officer
CIT,countries in transition
CIT,consumable item transfer
CIT,combat information team
CITA,commercial or industrial-type activities
CITS,combat information transfer system
CITS,command information transfer system
CITV,commander independent thermal viewers
CIV,corona inception voltages
CIVR,configuration item verification review
CIWS,close in weapon system
CJ&A,class justification and approval
CJCS,"chairman, joint chiefs of staff"
CJCSI,chairman of the joint chiefs of staff instruction
CJR,career job reservations
CJTF,commander joint task force
CK,containerized kitchen
CK,cyanogen chloride 
CKG,cooperative key generation
CKO,chief knowledge officer
CL,chief of logistic
CL,control level
CL,carload
CL,commodities list
CL,contingent liabilities
CLA,cross leveling agreement
CLA,cryptologic language analyst
CLAW,continuous learning acquisition workforce
CLC,congressional line code
CLCS,contractor life-cycle support
CLDG,closed loop degaussing
CLEP,college level examination program
CLF,command lodging fund
CLIN,contract line or sub line item
CLIN,contract line item number
CLIP,configuration and logistic information program
CLL,chief of legislative liaison
CLO,country liaison officer
CLO,classroom learning objective
CLOAR,common low observable autorouter
CLOVerS,common low observables verification system
CLR,contingent liability record
CLS,contract logistic support
CLS,central level summary
CLS,contractor logistic support
CLS,contract logistics support
CLSS,combat logistics support squadrons
CLSSA,cooperative logistics supply support arrangement
CLT,contract lead time
CLU,command launch unit
CM,configuration manager
CM,country manager
CM,case manager
CM,configuration management
CM,contract management
CM,change management
CM,candidate material
CM,cruise missile
CM,coordination meeting
CM,cost monitoring
CMA,collection management authority
CMA,countermeasure assessment
CMA,contract management assistant
CMA,centrally managed allotment
CMA,certified management accountant
CMAA,cooperative military airlift agreement
CMAL,controlled multiple address letter
CMAS,control monitoring automated system
CMB,career management board
CMBCC,consolidated mobility bag control center
CMC,cruise missile defense
CMC,cost monitoring coordinator
CMC,cheyenne mountain complex
CMC,commandant of the marine corps
CMCRL,consolidated master cross reference list
CMCS,case management control system
CMD,courseware management database
CMDB,consolidated manpower database
CMDS,command manpower data system
CME,contract manpower equivalent
CMF,command management framework
CMF,case master file
CMF,current master file
CMFDS,color multi-function display system
CMI,classified message incident
CMI,classified military information
CMI,computer- managed instruction
CMI,civilian/military integration
CMIA,cash management improvement act
CMIP,common management information protocol
CMIP,cash management investment program
CMIS,configuration management information system
CML,contract
CMM,conventional munitions maintenance
CMM,capability maturity model
CMMC,corps material management centers
CMMP,conventional munitions master plan
CMMS,conceptual model of the mission space
CMMSM,capability maturity model for software management
CMMSM,capability maturity models
C-MNS,combat mission need statement
CMO,circuit management office
CMOS,cargo movement operations systemâ â â â  
CMOS,complementary metal oxide semiconductor
CMP,cost monitoring program
CMP,configuration management plan
CMPL,"contains, completion date"
cmpo,cryptographic modernization program office
CMR,combat mission ready
CMR,country management review
CMR,consolidated mishap report
CMR,contract management review
CMRB,contract management review board
CMRB,contract modification review board
CMRI,combined maintenance removal interval
cMRO,"complex maintenance, repair and overhaul"
CMRS,calibration measurement and requirement summary
CMS,content management system 
CMS,capability-based manpower standard
CMS,combat mobility system
CMS,clearance management system
CMS,contractor maintenance support
CMS,cost monitoring specialist
CMS,contractor maintenance services
CMS,case management system
CMSA,cruise missile support activity
CMSA,consolidated metropolitan statistical areas
CMSAF,chief master sergeant of the air force
CMSF,chief of mission systems flight
CMT,crisis management team
CMTBCF,control mean time between critical failure
CMTBDE,control mean time between downing event
CMTTRF,control mean time to restore function
CMTTRS,control mean time to restore system
CMU,carnegie mellon university
CMUP,conventional mission upgrade program
CMW,compartment mode workstation
CMWS,common missile warning system
CN,chloroacetophenone &#8211; obsolete rca
CN,counter narcotics
CN,contractor notification
CNA,center for naval analyses
CNA,computer network attack
CNAD,conference of national armaments directors
C-NAF,component-numbered air force
CNAM,conservatoire nationale des arts et metiers
CNATRA,chief of naval air training
CNAVRES,chief of naval reserve
CNC,computer numerical control
CND,computer network defense
CND,cannot duplicate
CNE,computer network exploitation
CNECO,change notice engineering change order
CNET,chief of naval education and training
CNGB,"chief, national guard bureau"
CNI,"communications, navigation, and identification"
CNIU,common navigation interface unit
CNIWG,counternarcotic interagency working group
CNLZ,comsec no lone zones
CNN,control number
CNO,chief of naval operation
CNO,chief of naval operations
CNO,coordinator
CNO,computer network operations
CNP,candidate nomination proposal
CNR,combat net radios
CNR,credit no refund
CNTECHTRA,chief of naval technical training 
CNU,container unit
CNWDI,critical nuclear weapon design information
CO,change order
CO,cryptologic operator
CO,commanding officer
CO,contracting officer
COA,comptroller of the army
COA,course of action
COAL,customer order acceptance list
COARS,command on-line accounting and reporting system
COAS,customer order acceptance summary
COB,command operating budget
COB,collocated operating base
COBE,command operating budget estimate 
COBOL,common business oriented language
COBRA,coastal battlefield reconnaissance and analysis
COBRA,cost operational benefits requirements analysis
COBY,current operating budget year
COC,certification of compliance
COC,certificate of conformance
COC,counsel of colonels
COC,certificate of competency
COC,code of conduct
COCA,clearinghouse on computer accommodation
COCESS,contractor operated civil engineer supply store
COCM,command case manager
COCO,contractor owned/contractor operated 
COCO,chief of the contracting office
CO-CO,"contractor owned, contractor operated"
COCOM,coordinating committee of the consultative group
COCOMO,constructive cost model
COCP,customer order control point
COCSP,contingency operational contracting support plan
COD,cost of operation division
COD,cooperative opportunities document
COD,cooperative opportunitie document
COD,contract operations data
CODAP,comprehensive occupational data analysis program
CODEC,coda decoder
CODSIA,council of defense and space industry association
COE,certificate of equivalency
COE,corps of engineers 
COE,center of excellence
COE,chief of engineers
COE,center of expertise
COE,common operating environment
COE,"commitment, obligation, and expenditure"
COEA,cost and operational effectiveness analysis
COES,committee on open electronic standard
COF,contract operations file
COFC,court of federal claims
COFC,container on a flat car
COFD,contracting officer final decision
COFT,conduct of fire trainer
COG,coea oversight group
COGARD,u.s. coast guard
COGS,cost of goods  sold
COI,community of interest
COI,center of influence
COI,critical operational issues
COIC,critical operational issue and criteria
COIL,chemical oxygen iodine laser
COINS,contractor invoice service
COLA,cost of living allowance
COLAR,common low-observable auto routerâ
COLD,computer output laser disk
COLPRO,collective protection
COM,computer operations manual
COM,chief of maintenance
COM,chief of mission
COM COSF,chief of maintenance chief of system function
COM SVR,communication service
COMACC,"commander, air combat command"
COMAFFOR,"commander, air force forces"
COMCAM,combat camera
COMDT,commandant
COMINT,communication intelligence
COMMARCORLOGBASE,"commander, marine corps logistic bases"
COMMARCORSYSCOM,"commander, marine corps system command"
COMMRI,communication routing indicator
COMNAVDOCCOM,"commander, naval doctrine command"
COMNAVINTCOM,"commander, naval intelligence command"
COMNAVRESFOR,"commander, naval reserve force"
COMNAVSEA,"commander, naval sea systems command"
COMNAVSEASYSCOM,"commander, naval sea system command"
COMNAVSECGRU,commander naval security group
COMP CODE,component code
COMPARE,comparison system
COMPARE,computer software
COMPT,comptroller
COMPUSEC,computer security
COMSC,"commander, military sealift command"
COMSEC,communications security
COMSPAWARSYSCOM,"commander, space and naval warfare system command"
CON,certificate of networthiness
CON,contracting
CON,contingency
CONAD,continental air defense command
CONCAP,construction capability
CONEX,container express
CONOP,concept of operation
CONOPS,concept of operations
CONPLAN,concept plan
CONUS,continental united states
COO,chief operating officer
COOF,comptroller office of the future
COOP,continuity of operation plan
COOP,continuity of operation procedures
COOPLOG,cooperative logistics
COP,contingency outpost
COP,continuation of pay
COP,combat outpost
COP,community of practice
COP,current operating plan
COPAD,commercial vehicle repair part support
COPAD,contractor operated parts depot
COPARS,contractor operated part store
COPARS,contractor operated parts store
COQC,certificate of quality compliance
COR,chief of the office of record
COR,contracting officer's representative
COR,central offices of record
CORAM,consolidation risk assessment methodology
CORBA,common object request broker architecture
CORE,cost oriented resource estimating
COREDOC,core document
CORTREAT,corrosion treatment
COS,chief of supply
COS,certificate of service
COSAL,coordinated shipboard allowance list
COSAL,consolidated shipboard allowance list 
COSE,common open software environment
COSF,chief of system
COSIP,computer open systems implementation program
COSR,contract officer security representative
COSS,contractor operated support site
COSTAT,cost analysis statistical package
COT,combined operational testing
COT,consecutive overseas tours
COT,cadet orientation tour
COTC,certification of temp currency
COTR,contracting officer technical representative
COTS,commercial off the shelf
COV,corona onset voltage
Cp,centrally procured
Cp,capability index
Cp,command post
Cp,congressional presentation
Cp,certification program
Cp,capabilities planning
Cp,change proposal
Cp,corrosion prevention
CPA,critical path analysis
CPA,certified public accountant
CPAB,corrosion prevention advisory board
CPAC,civilian personnel activity center
CPAC,civilian personnel advisory center
CPAF,cost-plus-award-fee
CPAIS,cpais -- civilian pay accounting interface system
CPAR,contractor performance assessment report
CPAS,central procurement accounting system
CPAT,critical process assessment tool
CPC,computer program component
CPC,corrosion prevention and control
CPCI,computer program configuration item
CPCR,contractor packaging capability review
CPCSB,computer program configuration subboard
CPD,congressional presentation document
CPD,capability production document
CPD,capabilities production document
CPDC,command publishing distribution center
CPDF,central personnel data file
CPE,continuing professional education
CPE,computer performance evaluation
CPF,computerized physical fit
CPF,civilian personnel flight
CPFF,cost-plus-fixed-fee
CPFH,cost per flying hour
CPFR,cost program financial review
CPG,contingency planning guidance
CPG,chairman's program guidance
CPI,crash position indicator
CPI,consumer price index
CPI,critical program information
CPI,cost performance index
CPI,continuous process improvement
CPIF,cost-plus-incentive-fee
CPIF/AF,cost plus incentive fee/award fee
CPIN,computer program identification number
CPIPT,cost performance ipt 
CP-IPT,cost performance integrated product team
CPIT,contract price of item terminated
CPIWI,customer premise inside wire installation
CPK,countermine protection kit
CPL,credential privilege list
CPL,contract policy letter
CPL,customer priority list
CPM,cost performance management
CPM,contractor performance measurement
CPM,critical path method
CPM,country program manager
CPMC,civilian personnel management course
CPN,contract payment notices
CPO,chemical protective overgarment
CPO,civilian personnel office
CPO,consolidated planning order
CPO,cost per output
CPOC,civilian personnel operation centers
CPP,criteria reporting provision
CPP,capital purchase program
CPP,competitive phased pricing
CPP,cooperative program personnel
CPP,contractor performance report
CPP,content preview portal 
CPP,chairman program recommendation
CPP,category for staffing format
CPPC,cost plus percentage of cost
CPPWG,capital purchases program working group
CPR,cost performance review
CPR,cost performance report
CPRC,counterproliferation program review committee
CPSE,crew and passenger support equipment
CPSG,cryptologic systems group
CPSR,contract procurement system review
CPSR,contractor purchasing system review
CPT,critical process team
CPT,cockpit pressurization test
CPT,comparison test
CPTED,crime prevention through environmental design
CPU,computer processing unit
CPU,central processor unit
CPU,central processing unit
CPUC,current procurement unit cost
CPVX,central station
CPW,center for public work
CPX,command post exercise
CQ,charge of quarters
CQ,current and qualified
CQA,contract quality assurance
CQC,contractor quality control
CQE,certified quality engineer
CQMP,clinical quality management program
CQR,contract quality requirement
CR,customer representative
CR,continuing resolution
CR,change request
CR,combat rescue
CR,certification recommendation
CR,change recommendation
CR,clarification request
CR,competition advocate
CR,country representative
CR,cost reimbursement
CR,clarification report
CR,computer resource
CR CON,cost reimbursement construction
CR R&D,cost reimbursement research and development
CR SUP,cost reimbursement supply
CR SVR,cost reimbursement service
CR/DR,clarification request and/or a deficiency report
CRA,continuing resolution act
CRA,consolidated repair activity
CRA,continuing resolution authority
CRACM,cross reference and compliance matrix
CRADA,cooperative research and development agreement
CRAF,civil reserve air fleet
CRAF,civil reserve aircraft fleet
CRAG,contractor risk assessment guide
CRAMSI,consolidated residual asset management system
CRB,change review board
CRB,cost review board
CRC,complete round code
CRC,cycle redundancy check
CRC,camera ready copy
CRC,control and reporting center
CRCB,computer resource control board
CRCI,computer resource configured item
CRCLMP,computer resource life cycle management plan
CRD,capstone requirements document
CRD,complete round dictionary
CRDB,cost risk database
CRDL,critical requirement deficiency list
CRE,contingency response element
CREP,contract repair enhancement process/program
CRES,corrosion resistant steel
CRF,cbrne response force
CRFPST,centralized request for proposal support team
crg,contingency response group
CRI,consolidated reparable inventory
CRIB,computer resources information base
CRIPT,cost reduction integrated product team
CRIS,commander's resource integration system
CRISD,computer resources integrated support document
CRITICOMM,critical intelligence communications
CRL,custody receipt listing
CRL,cross reference list
CRM,command records managers
CRM,command record manager
CRM,computer resource management
CRMP,cultural resource management plan
CRMP,computer resource management plan
CRNA,certified registered nurse anesthetist
CRO,combat rescue officer
CRO,comsec responsible officer
CROFA,consolidated remote operation facility airborne
CRP,contract requirement packages
CRP,certification requirements plan
CRR,comprehensive risk reduction
CRR,case requisition review
CRR,certification requirement review
CRR,credit return refund
CRR,case reconciliation review
CRRA,capability review & risk assessment
CRRC,combat rubber reconnaissance craft
CRRC,construction requirement review committees
CRS,corporate review structure
CRS,congressional research service
CRS,contingency retention stocks
CRS,central referral system
CRS,computer resource support
CRST,customer requirement support team
CRT,contract repair team
CRT,cathode ray tube
CRTA,cold region test activity
CRTC,combat readiness training center
CRTT,computer resource technology transition
CRU,computer resource utilization
CRUD,create read undelete delete
CRW,canard/rotary wing
CRWG,computer resource working group
CRYPTO,cryptographic
CS,chief of staff
CS,consignment spare
CS,communication segment
CS,contractor support
CS,contract specialist
CS/CS,cost system/control system
CSA,controlled spend account
CSA,contractor support area
CSA,communications service authorization
CSA,client support administrator
CSA,cognizant security authority
CSA,communication service authority
CSA,compensation system analyst
CSA,confederate states of america
CSA,chief of staff of the army
CSA,configuration status accounting
CSA,consumer supported agriculture
CSA/OCSA,"chief of staff, u.s. army/office of the csa"
CSAD,computer system authorization directory
CSAD,computer system address directory
CSAF,chief of staff of the air force
CSAI,contracted support activity inspection
CSAR,combat search and rescue
CSAS,corporate source authority system
CSB,computer support base
CSB,cost saving board
CSBP,commander smart buy program
CSC,computer science canada
CSC,critical system characteristic
CSC,central security control
CSC,computer science corporation
CSC,computer software component
CSC,computer system component
CSC,case study committee
CSC,conventional systems committee
CSC,customer service center
CSCI,computer software configuration item
CSCR,communications systems center regulation
CSCW,computer supported cooperative work
CSDI,computer software distribution item
CSDM,computer system diagnostic manual
CSE,center for software engineering
CSE,common support equipment
CSE,client server environment
CSEL,consolidated support equipment list
CSEL,combat system equipment list
CSEL,combat survivor evader locator
CSEL,communications systems evaluation lab
CSET,computer security engineering team
CSF,chief of security force
CSF,computer system facility
CSF,center senior functional
CSF,consolidated support facility
CSG,complex system guideline
CSGA,computer systems group software
CSGS,computer system group software
CSH,combat support hospital
CSI,â c2 systems interface
CSI,computer system integration
CSI,consolidated serviceable inventory
CSIC,combat system installation certification
CSIL,customer service information line
CSIP,component sponsored investment program
CSIR,c4 system installation record
CSIS,central secondary item secondary
CSITP,combined strategic intelligence training program
CSL,common security label
CSL,cals sgml library
CSLCP,computer security life cycle process
CSLE,combat support and logistic equipment
CSLS,combat store loading software
CSM,computer systems management
CSM,command supportability metric
CSM,computer system manager
CSM,commodity support manager
CSMI,cost savings modernization initiative
CSMS,combat supplies management system
CSN,control symbol number
CSN,current stock number
CSNAS,computer supported network analysis system
CSO,computer security officer
CSO,communication system office
CSO,cognizant security office
CSO,c4 system officer
CSO,combat systems officer
CSO,computer system officer
CSOC,customer support operation center
CSOC,consolidated space operation centers
CSOC,comptroller staff officer course
CSOM,computer software operator's manual
CSOM,computer system operator manual
CSP,controlled storage point
CSP,concurrent 
CSP,communications system processor
CSP,concurrent spare part
CSP,career sea pay
CSR,cals sgml registry
CSR,compensation system review
CSRA,civil service reform act
CSRB,computer system requirement board
CSRC,cals shared resource center
CSRD,c4 system requirement document
CSRD,computer system requirement document
CSRNE,"chemical, biological, radiological, nuclear"
CSRS,civil service retirement system
CSSD,conceptual security system design
CSSM,center system safety program manager
CSSM,center system safety manager
CSSO,computer system security officer
CSSP,computer security support program
CSSR,communication system segment replacement
CSSTSS,combat service support training simulation system
cst,combat survival training
CSTC,consolidated space test center
CSTCTO,country standard time compliance technical order
CSTO,country standard technical order
CSU,customer service unit
CSU,customer support unit
CSU,computer software unit
CSU/DSU,channel service unit/data service unit
CSV,comma separated values
CSW,contract specialist workbook
CSWG,crew station working group
CSWS,contractor supported weapon system
ct,continuation training
CT&E,certification test and evaluation
CTA,common table of allowances
CTA,central technical activity
CTA,center test authority
CTAK,cipher text auto key
CTAPS,contingency theater automated planning system
CTC,cals technical center
CTC,combat training center
CTCC,consolidated telecommunications center
CTD,concealed target detection
CTDF,contract technical data file
CTE,contractor test and evaluation
CTEA,cost and training effectiveness analysis
CTEIP,central test and evaluation investment program
CTEIP,central tanned investment program
CTF,combined test force
CTF,consolidated test force
CTF,common technical framework
CTF,closure task force
CTIC,contractor technical information code
CTIG,ctig - combat targeting and intelligence group
CTII,combat track ii
CTIS,computerized test information stand
CTJTF,counter terrorism joint task force
CTK,composite tool kit
CTL,component team leader
CTL,construction technical letter
CTM,command training manager
CTN,cals test network
CTO,commercial travel office
CTO,cognizant transportation office/officer
CTO,certificate to operate
CTOCU,central to control unit
CTOCU,centralized technical order control unit
CTOM,centralized to management 
CTOM,centralized technical order management
CTOM,central to management
CTP,characteristic technical parameter
CTP,critical technical parameter
CTP,critical test parameter
CTR,capital type rehabilitation
CTS,cellular telephone
CTS,conformance testing standard
CTS,course training standard
CTS,contact test set
CTSS,commercial training simulation services
CTTA,cost/technical trade off analysis
CTTA,certified tempest technical authority
CTU,captive test unit
CU,conductivity unit
CUCV,commercial utility cargo vehicle
CUI,controlled unclassified information 
CUID,cluster unique identifier 
CUP,custom and practice
CUSPROF,customer profiler
CUT,coordinated universal time
CV,coefficient of variation
CV,vice commander
CV,cost variance
CVA,central verification activity
CVA,clandestine vulnerability analysis
CVC,customer value contracting
CVI,crew/vehicle interface
CVI,customer/vendor interface
CVISC,combat vi support center
CVL,carrier
CVLA,cargo vehicle light assault
CVP,collaborative virtual prototyping
C-V-P,cost-volume-profit
CVPP,central vendor payment program
CVR,cockpit voice recorder
CVRP,computer system vulnerability reporting program
CW,chemical weapons
CW,continuous wave
CW,conventional weapon
CW,chemical warfare
CWA,contractor warranty administration
CWA,cash with acceptance
CWA,clean water act
CWBS,contract work breakdown structure
CWD,chemical warfare defense
CWDE,chemical warfare defense equipment
CWDS,combat weapon delivery software
CWF,civilian welfare fund
CWG,computer working group
CWG,cockpit working group
CWHSSA,contract work hour and safety standard act
CWI,continuous wave illuminator
CWO,combat wing organization
CWON,collection work order number
CWPC,contingency wartime planning course
CWT,customer wait time
CXL,canceled
CXL SEC,cancellation sector
CY,calendar year
CY,current year
CZ,clear zone
CZTE,combat zone tax exclusion
D LEVEL,depot level of maintenance
D SPEC,process specification
D&B,dunn & bradstreet
D&F,determination & findings
D&SWS,develop and sustain warfighting systems
D&V,demonstration and validation
D&W,detection and warning
D, A&M,"director, of administration and management"
D, DP,"director, of defense procurement"
D, DR&E,"direct or, of defense research and engineering"
D/A,debt asset ratio
D/E,debt to equity ratio
D/V,demonstration/validation
D2,disrupt/destroy
DA,department of the army
DA,director of administration
DA,data administrator
DA,developing agency/activity
DA,data administration
DA,department of administration
DA,decision analysis
DAA,designated approving authority
DAA,delegation of approval authority
DAA,designated accreditation authority
DAAADS,defense assistance award action data system
DAACO,drug and alcohol abuse control officer
DAAS,defense automated addressing system
DAASC,defense automatic addressing system center
DAASO,defense automatic addressing system office
DAB,defense acquisition board
DABBS,defense electronic bulletin board service
DABBS,disa acquisition bulletin board system
DAC,designated acquisition commander - no longer used
DAC,designated acquisition commander 
DAC,discretionary access control
DAC,douglas aircraft company
DAC,designated acquisition command
DAC,defense acquisition circular
DAC,department of the army civilian
DACDC,defense acquisition career development council
DACDC,dod acquisition career development council
DACM,director acquisition career management
DACM,director of acquisition career management
DACO,divisional administrative contracting officer
DACOS,deputy assistant chief of staff
DACR,direct allocable cost recovery
DACS,divert and attitude control system
DACT,dissimilar air combat training
DAD,deputy assistant director
DAD,defense acquisition deskbook
DADMS,dma automated distribution management system
DAE,defense acquisition executive
DAEB,defense acquisition executive 
DAEO,designated agency ethic official
DAES,defense acquisition executive summary
DAF,department of the air force
DAFC,department of the air force civilian
DAFM,deputy airfield manager
DAGC,drawing and graphic committees
DAHAP,"data acquisition, handling and analysis plan"
DAISY,defense automated information system
DAL,data accession list
DAL,director of acquisition logistics
DALSO,da logistics staff officer
DALSO,da logistics support officer
DAMA,demand assigned multiple access
DAMES,daasc automated message exchange system
DAMIS,drug and alcohol management information system
DAMPL,department of the army master priority list
DAO,defense accounting office/officer
DAO,defense attache office
DAOA,dynamic angle of arrival
DAP,document application profile
DAP,data analysis plan
DAP,data administration program
DAPA,distribution and pricing agreement
DAPAS,distribution and pricing agreements
DAPM,domain analysis process model
DAPML,deputy assistant program manager for logistics
DAPMO,data administration program management office
DAPP,defense acquisition pilot program
DAPS,defense automated printing service
DAPSG,defense acquisition policy steering group
DAPWG,defense acquisition policy working group
DAR,designated airworthiness representative
DAR,defense acquisition regulation
DAR,data automation requirement
DARC,defense acquisition regulatory council
DARCOM,development and readiness command
DARIC,defense automation resources information center
DARMP,defense automation resource management program
DARPA,defense advanced research projects agency
DART,deficiency analysis ranking technique
DAS,defense acquisition system
DAS,defense attachã© system
DAS,defense supply advisor
DAS,deputy assistant secretary
DASA,deputy assistant secretary of the army
DASAF,director of army safety
DASC,department of the army systems coordinator
DASD,deputy assistant secretary of defense
DASHO,designated agency safety and health official
DASN,deputy assistant secretary of the navy
DASP,data administration strategic plan
DAT,digital audio tape
DAT,detailed assessment tool
DAT,digital analog tape
DATATRAK,data retrieval on contractor edp
DATM,dummy air training missile
DATS,digital analog test station
DATT,defense attache
DATT,defense attachã„
DAU,defense acquisition university
DAU BBS,dau bulletin board system
DAV,digital analog video
DAVA,defense audiovisual agency
DAVIS,defense automated visual information system
DAWIA,defense acquisition workforce improvement act
DAWS,data analysis workstation
DB,data base
DB,decibel
DBA,davis bacon act
DBA,direct budget authority
DBA,doing business as
DBAT,database access tool
DBC,digital battlefield communication
DBDD,data base design document
DBE,database entry
DBE,disadvantaged business enterprise
DBF,database file
DBI,databank of priced data
DBIDS,defense biometric identification system
DBMR,data base management report
DBMS,database management system
DBMS,defense business management system
DBMS,dcaa automated personnel system
DBMS,"director, base medical services"
DBMSC,defense business systems management committee
DBOF,defense business operating fund
DBOF,defense business operations fund
DBOF-T,defense business operation fund transportation
DBOR,database of record
DBPA,decentralized blanket purchase agreement
DBS,direct broadcast satellite
DBS,digital broadcast satellite
DBT,data base transmission
DBT,data base transfer
DC,direct current
DC,direct cite
DCA,defense communications agency
DCA,defense cooperation in armaments
DCA,defense cooperation in armament
DCAA,defense contracting and auditing agency
DCAA,defense contract audit agency
DCAAI,defense contract audit agency instruction
DCAAM,defense contract audit agency manual
DCAAP,defense contract audit agency pamphlet
DCAAR,defense contract audit agency regulation
DCADS,defense contract action data system
DCAI,defense contract audit institute
DCAS,defense contract administration service
DCASMA,defense contract management command/activity
DCASPRO,dcas plant representative office
DCASR,defense contract administration services region
DCATS,deployable contract action tracking system
DCC,data competency center
DCC,damage control center
DCC,direct commercial contract 
DCC,denial cause code
DCE,distributed computing environment
DCE,defense corporate executive
DCEC,directorate of contractor employment compliance
DCF,document control file
DCG,disaster control group
DCI,director of central intelligence
DCID,director of central intelligence directive
DCII,defense central index of investigation
DCII,defense clearance and investigation index
DCINC,deputy commander in chief
DCIO,defense criminal investigative organization
DCIS,defense criminal investigative service
DCM,deputy chief of mission
DCMA,defense contract management agency
DCMAO,defense contract management area operations
DCMAO,defense contract management area office
DCMAO,defense contractor management area office
DCMC,defense contract management command
DCMCD,defense contract management command district
DCMCI,defense contract management command international
DCMD,defense contract management district
DCMDE,defense contract management district east
DCMDM-I,defense contract management district mid atlantic
DCMDN,defense contract management district northeast
DCMDS-I,defense contract management district south
DCMDW-I,defense contract management district west
DCMO,defense contract management office
DCMR,defense contract management regions
DCMS,district cost monitoring specialist
DCN,design change notice
DCN,dfars change notice
DCN,document control number
DCNO,deputy chief of naval operations
DCO,defense certification office
DCO,dial central office
DCO,defence connect online
DCO,defense coordinating officer
DCOR,defense committee on research
DCP,decision coordinating paper
DCPDS,defense civilian personnel data system
DCPS,defense civilian pay system
DCPS,data communication protocol standard
DCR,design concern report
DCR,developed character reference
DCS,diagnostic control system
DCS,division clearing station
DCS,direct commercial sales
DCS,defense courier service
DCS,deputy chief of staff
DCS,defense communications system
DCSC,defense construction supply center
DCSCD,deputy chief of staff for combat development
DCSI,defense central security index
DCSIM,deputy chief of staff for information management
DCSINT,deputy chief of staff for intelligence 
DCSLOG,deputy chief of staff for logistics
